category,count,pct
United-States,4406,89.68043964990841
Mexico,142,2.8902910645226947
Puerto-Rico,36,0.7327498473437818
Germany,30,0.6106248727864848
Philippines,25,0.5088540606554041
Dominican-Republic,25,0.5088540606554041
Cuba,24,0.4884998982291879
El-Salvador,19,0.3867290860981071
Poland,18,0.3663749236718909
China,15,0.3053124363932424
Italy,14,0.2849582739670263
England,13,0.2646041115408101
Vietnam,12,0.24424994911459394
Columbia,12,0.24424994911459394
Canada,10,0.2035416242621616
Nicaragua,9,0.18318746183594545
Jamaica,9,0.18318746183594545
Guatemala,8,0.1628332994097293
Haiti,8,0.1628332994097293
South Korea,7,0.14247913698351314
Taiwan,6,0.12212497455729697
India,6,0.12212497455729697
Peru,5,0.1017708121310808
Ireland,5,0.1017708121310808
Honduras,5,0.1017708121310808
Hong Kong,4,0.08141664970486465
Japan,4,0.08141664970486465
Thailand,4,0.08141664970486465
Scotland,3,0.061062487278648485
Ecuador,3,0.061062487278648485
Iran,3,0.061062487278648485
Hungary,3,0.061062487278648485
France,3,0.061062487278648485
Cambodia,3,0.061062487278648485
Greece,3,0.061062487278648485
Portugal,2,0.04070832485243232
Outlying-U S (Guam USVI etc),2,0.04070832485243232
Trinadad&Tobago,2,0.04070832485243232
Holand-Netherlands,2,0.04070832485243232
Panama,2,0.04070832485243232
Yugoslavia,1,0.02035416242621616
